Country,Code,Year,Renewable electricity (% electricity production)
Algeria,DZA,1996,0.653626416
Algeria,DZA,1997,0.348885891
Algeria,DZA,1998,0.924254148
Algeria,DZA,1999,0.819970109
Algeria,DZA,2000,0.212498032
Algeria,DZA,2001,0.25915493
Algeria,DZA,2002,0.206163194
Algeria,DZA,2003,0.896148253
Algeria,DZA,2004,0.8032
Algeria,DZA,2005,1.636444051
Algeria,DZA,2006,0.618861069
Algeria,DZA,2007,0.607592214
Algeria,DZA,2008,0.703350234
Algeria,DZA,2009,0.794784551
Algeria,DZA,2010,0.380460926
Algeria,DZA,2011,0.980009371
Algeria,DZA,2012,1.083680332
Algeria,DZA,2013,0.551010185
Algeria,DZA,2014,0.395379969
American Samoa,ASM,1990,0
American Samoa,ASM,1991,0
American Samoa,ASM,1992,0
American Samoa,ASM,1993,0
American Samoa,ASM,1994,0
American Samoa,ASM,1995,0
American Samoa,ASM,1996,0
American Samoa,ASM,1997,0
American Samoa,ASM,1998,0
American Samoa,ASM,1999,0
American Samoa,ASM,2000,0
American Samoa,ASM,2001,0
American Samoa,ASM,2002,0
American Samoa,ASM,2003,0
American Samoa,ASM,2004,0
American Samoa,ASM,2005,0
American Samoa,ASM,2006,0
American Samoa,ASM,2007,0
American Samoa,ASM,2008,0
American Samoa,ASM,2009,0
American Samoa,ASM,2010,0
American Samoa,ASM,2011,0
American Samoa,ASM,2012,0.702426564
American Samoa,ASM,2013,0.703140481
American Samoa,ASM,2014,0.700882475
Andorra,AND,1990,100
Andorra,AND,1991,100
Andorra,AND,1992,100
Andorra,AND,1993,100
Andorra,AND,1994,100
Andorra,AND,1995,100
Andorra,AND,1996,100
Andorra,AND,1997,100
Andorra,AND,1998,100
Andorra,AND,1999,100
Andorra,AND,2000,100
Andorra,AND,2001,100
Andorra,AND,2002,100
Andorra,AND,2003,100
Andorra,AND,2004,98.93617021
Andorra,AND,2005,98.82352941
Andorra,AND,2006,94.59459459
Andorra,AND,2007,75
Andorra,AND,2008,80.05082592
Andorra,AND,2009,76.54320988
Andorra,AND,2010,88.73114463
Andorra,AND,2011,86.51315789
Andorra,AND,2012,86.6894198
Andorra,AND,2013,88.7532694
Andorra,AND,2014,89.43217666
Angola,AGO,1990,86.20689655
Angola,AGO,1991,82.65524625
Angola,AGO,1992,88.70116156
Angola,AGO,1993,93.68421053
Angola,AGO,1994,93.71727749
Angola,AGO,1995,93.75
Angola,AGO,1996,89.98054475
Angola,AGO,1997,76.35253054
Angola,AGO,1998,80.42488619
Angola,AGO,1999,66.96629213
Angola,AGO,2000,63.11418685
Angola,AGO,2001,62.08791209
Angola,AGO,2002,64.7592068
Angola,AGO,2003,62.20551378
Angola,AGO,2004,78.40501792
Angola,AGO,2005,79.64824121
Angola,AGO,2006,80.61101028
Angola,AGO,2007,77.6188996
Angola,AGO,2008,75.40904716
Angola,AGO,2009,65.34318902
Angola,AGO,2010,67.95742338
Angola,AGO,2011,70.90780393
Angola,AGO,2012,60.7994842
Angola,AGO,2013,58.02093476
Angola,AGO,2014,53.17510549
Antigua and Barbuda,ATG,1990,0
Antigua and Barbuda,ATG,1991,0
Antigua and Barbuda,ATG,1992,0
Antigua and Barbuda,ATG,1993,0
Antigua and Barbuda,ATG,1994,0
Antigua and Barbuda,ATG,1995,0
Antigua and Barbuda,ATG,1996,0
Antigua and Barbuda,ATG,1997,0
Antigua and Barbuda,ATG,1998,0
Antigua and Barbuda,ATG,1999,0
Antigua and Barbuda,ATG,2000,0
Antigua and Barbuda,ATG,2001,0
Antigua and Barbuda,ATG,2002,0
Antigua and Barbuda,ATG,2003,0
Antigua and Barbuda,ATG,2004,0
Antigua and Barbuda,ATG,2005,0
Antigua and Barbuda,ATG,2006,0
Antigua and Barbuda,ATG,2007,0
Antigua and Barbuda,ATG,2008,0
Antigua and Barbuda,ATG,2009,0
Antigua and Barbuda,ATG,2010,0
Antigua and Barbuda,ATG,2011,0
Antigua and Barbuda,ATG,2012,0
Antigua and Barbuda,ATG,2013,0
Antigua and Barbuda,ATG,2014,0
Argentina,ARG,1990,35.4414663
Argentina,ARG,1991,30.4365664
Argentina,ARG,1992,34.87052844
Argentina,ARG,1993,38.93400026
Argentina,ARG,1994,42.60157812
Argentina,ARG,1995,40.21338506
Argentina,ARG,1996,33.39982206
Argentina,ARG,1997,39.38698166
Argentina,ARG,1998,36.39004486
Argentina,ARG,1999,27.29441883
Argentina,ARG,2000,33.15937465
Argentina,ARG,2001,41.82988404
Argentina,ARG,2002,43.56387577
Argentina,ARG,2003,37.95175486
Argentina,ARG,2004,31.63480258
Argentina,ARG,2005,33.52513485
Argentina,ARG,2006,37.1276984
Argentina,ARG,2007,29.84220081
Argentina,ARG,2008,26.3437058
Argentina,ARG,2009,28.92740262
Argentina,ARG,2010,28.5854562
Argentina,ARG,2011,32.30597044
Argentina,ARG,2012,29.26113532
Argentina,ARG,2013,31.53961673
Argentina,ARG,2014,31.53617443
Armenia,ARM,1990,15.00675545
Armenia,ARM,1991,16.24632198
Armenia,ARM,1992,33.8071968
Armenia,ARM,1993,68.19698173
Armenia,ARM,1994,62.1067515
Armenia,ARM,1995,34.50818198
Armenia,ARM,1996,25.29771484
Armenia,ARM,1997,23.05523304
Armenia,ARM,1998,24.82636085
Armenia,ARM,1999,20.99002974
Armenia,ARM,2000,21.16482041
Armenia,ARM,2001,16.84943429
Armenia,ARM,2002,30.04167422
Armenia,ARM,2003,36.02981276
Armenia,ARM,2004,33.13432836
Armenia,ARM,2005,28.06712047
Armenia,ARM,2006,30.71873422
Armenia,ARM,2007,31.46829434
Armenia,ARM,2008,31.17850953
Armenia,ARM,2009,35.67272086
Armenia,ARM,2010,39.48544138
Armenia,ARM,2011,33.5397039
Armenia,ARM,2012,28.94474863
Armenia,ARM,2013,28.23605707
Armenia,ARM,2014,25.75483871
Aruba,ABW,1990,0
Aruba,ABW,1991,0
Aruba,ABW,1992,0
Aruba,ABW,1993,0
Aruba,ABW,1994,0
Aruba,ABW,1995,0
Aruba,ABW,1996,0
Aruba,ABW,1997,0
Aruba,ABW,1998,0
Aruba,ABW,1999,0
Aruba,ABW,2000,0
Aruba,ABW,2001,0
Aruba,ABW,2002,0
Aruba,ABW,2003,0
Aruba,ABW,2004,0
Aruba,ABW,2005,0
Aruba,ABW,2006,0
Aruba,ABW,2007,0
Aruba,ABW,2008,0
Aruba,ABW,2009,0
Aruba,ABW,2010,11.32737715
Aruba,ABW,2011,12.10102096
Aruba,ABW,2012,14.91525424
Aruba,ABW,2013,14.91218619
Aruba,ABW,2014,15.09927995
Australia,AUS,1990,9.656030644
Australia,AUS,1991,10.59820105
Australia,AUS,1992,10.06686525
Australia,AUS,1993,10.54914357
Australia,AUS,1994,10.19447386
Australia,AUS,1995,9.62414282
Australia,AUS,1996,9.229727824
Australia,AUS,1997,9.587675727
Australia,AUS,1998,8.434050016
Australia,AUS,1999,8.544053588
Australia,AUS,2000,8.381618572
Australia,AUS,2001,8.098454953
Australia,AUS,2002,7.860918822
Australia,AUS,2003,8.390527478
Australia,AUS,2004,8.138506641
Australia,AUS,2005,8.803706639
Australia,AUS,2006,9.299307773
Australia,AUS,2007,8.648072467
Australia,AUS,2008,8.115257556
Australia,AUS,2009,7.480085409
Australia,AUS,2010,8.611879628
Australia,AUS,2011,10.42665228
Australia,AUS,2012,10.59265336
Australia,AUS,2013,13.26410839
Australia,AUS,2014,14.90671221
Austria,AUT,1990,66.20212593
Austria,AUT,1991,65.06247384
Austria,AUT,1992,72.39632351
Austria,AUT,1993,74.06708065
Austria,AUT,1994,70.8027096
Austria,AUT,1995,70.50636123
Austria,AUT,1996,66.80479337
Austria,AUT,1997,67.91595582
Austria,AUT,1998,69.81040959
Austria,AUT,1999,70.67895053
Austria,AUT,2000,72.54400909
Austria,AUT,2001,69.15682775
Austria,AUT,2002,69.01294765
Austria,AUT,2003,60.78282872
Austria,AUT,2004,64.20223413
Austria,AUT,2005,63.38874581
Austria,AUT,2006,66.00428348
Austria,AUT,2007,69.21516642
Austria,AUT,2008,69.25627518
Austria,AUT,2009,71.14076755
Austria,AUT,2010,66.21229741
Austria,AUT,2011,65.63092141
Austria,AUT,2012,74.52638012
Austria,AUT,2013,78.02061536
Austria,AUT,2014,81.12833834
Azerbaijan,AZE,1990,7.161368348
Azerbaijan,AZE,1991,7.496801706
Azerbaijan,AZE,1992,8.83975105
Azerbaijan,AZE,1993,12.73423967
Azerbaijan,AZE,1994,10.40919697
Azerbaijan,AZE,1995,9.129312368
Azerbaijan,AZE,1996,9.000994908
Azerbaijan,AZE,1997,10.16868615
Azerbaijan,AZE,1998,10.84009334
Azerbaijan,AZE,1999,8.285651408
Azerbaijan,AZE,2000,8.203647254
Azerbaijan,AZE,2001,6.858197153
Azerbaijan,AZE,2002,10.80156141
Azerbaijan,AZE,2003,11.59917317
Azerbaijan,AZE,2004,12.67016188
Azerbaijan,AZE,2005,13.15582371
Azerbaijan,AZE,2006,10.25954447
Azerbaijan,AZE,2007,10.82070765
Azerbaijan,AZE,2008,10.31280322
Azerbaijan,AZE,2009,12.24295103
Azerbaijan,AZE,2010,18.42330305
Azerbaijan,AZE,2011,13.1861634
Azerbaijan,AZE,2012,7.921524274
Azerbaijan,AZE,2013,6.67123405
Azerbaijan,AZE,2014,5.629246199
Bahamas,BHS,1990,0
Bahamas,BHS,1991,0
Bahamas,BHS,1992,0
Bahamas,BHS,1993,0
Bahamas,BHS,1994,0
Bahamas,BHS,1995,0
Bahamas,BHS,1996,0
Bahamas,BHS,1997,0
Bahamas,BHS,1998,0
Bahamas,BHS,1999,0
Bahamas,BHS,2000,0
Bahamas,BHS,2001,0
Bahamas,BHS,2002,0
Bahamas,BHS,2003,0
Bahamas,BHS,2004,0
Bahamas,BHS,2005,0
Bahamas,BHS,2006,0
Bahamas,BHS,2007,0
Bahamas,BHS,2008,0
Bahamas,BHS,2009,0
Bahamas,BHS,2010,0
Bahamas,BHS,2011,0
Bahamas,BHS,2012,0
Bahamas,BHS,2013,0
Bahamas,BHS,2014,0
Bahrain,BHR,1990,0
Bahrain,BHR,1991,0
Bahrain,BHR,1992,0
Bahrain,BHR,1993,0
Bahrain,BHR,1994,0
Bahrain,BHR,1995,0
Bahrain,BHR,1996,0
Bahrain,BHR,1997,0
Bahrain,BHR,1998,0
Bahrain,BHR,1999,0
Bahrain,BHR,2000,0
Bahrain,BHR,2001,0
Bahrain,BHR,2002,0
Bahrain,BHR,2003,0
Bahrain,BHR,2004,0
Bahrain,BHR,2005,0
Bahrain,BHR,2006,0
Bahrain,BHR,2007,0
Bahrain,BHR,2008,0
Bahrain,BHR,2009,0
Bahrain,BHR,2010,0
Bahrain,BHR,2011,0
Bahrain,BHR,2012,0
Bahrain,BHR,2013,0
Bahrain,BHR,2014,0
Bangladesh,BGD,1990,11.43300569
Bangladesh,BGD,1991,10.13301088
Bangladesh,BGD,1992,8.949853834
Bangladesh,BGD,1993,6.604388442
Bangladesh,BGD,1994,8.656991006
Bangladesh,BGD,1995,3.442531927
Bangladesh,BGD,1996,6.440648423
Bangladesh,BGD,1997,6.063417102
Bangladesh,BGD,1998,6.714795839
Bangladesh,BGD,1999,5.764705882
Bangladesh,BGD,2000,4.749223258
Bangladesh,BGD,2001,5.709521619
Bangladesh,BGD,2002,4.012858291
Bangladesh,BGD,2003,3.799715909
Bangladesh,BGD,2004,3.034477171
Bangladesh,BGD,2005,2.832079253
Bangladesh,BGD,2006,2.536317768
Bangladesh,BGD,2007,2.415739397
Bangladesh,BGD,2008,2.776316559
Bangladesh,BGD,2009,1.121661242
Bangladesh,BGD,2010,1.787202746
Bangladesh,BGD,2011,1.974950739
Bangladesh,BGD,2012,1.600016474
Bangladesh,BGD,2013,1.946536145
Bangladesh,BGD,2014,1.319724237
Barbados,BRB,1990,0
Barbados,BRB,1991,0
Barbados,BRB,1992,0
Barbados,BRB,1993,0
Barbados,BRB,1994,0
Barbados,BRB,1995,0
Barbados,BRB,1996,0
Barbados,BRB,1997,0
Barbados,BRB,1998,0
Barbados,BRB,1999,0
Barbados,BRB,2000,0
Barbados,BRB,2001,0
Barbados,BRB,2002,0
Barbados,BRB,2003,0
Barbados,BRB,2004,0
Barbados,BRB,2005,0
Barbados,BRB,2006,0
Barbados,BRB,2007,0
Barbados,BRB,2008,0
Barbados,BRB,2009,0
Barbados,BRB,2010,0
Barbados,BRB,2011,0
Barbados,BRB,2012,0
Barbados,BRB,2013,0
Barbados,BRB,2014,0
Belarus,BLR,1990,0.050599605
Belarus,BLR,1991,0.046469601
Belarus,BLR,1992,0.045218779
Belarus,BLR,1993,0.056939075
Belarus,BLR,1994,0.060515336
Belarus,BLR,1995,0.080263264
Belarus,BLR,1996,0.067430883
Belarus,BLR,1997,0.080592547
Belarus,BLR,1998,0.119189511
Belarus,BLR,1999,0.07165485
Belarus,BLR,2000,0.103444312
Belarus,BLR,2001,0.11969836
Belarus,BLR,2002,0.109615966
Belarus,BLR,2003,0.10515642
Belarus,BLR,2004,0.108939442
Belarus,BLR,2005,0.119505184
Belarus,BLR,2006,0.119455534
Belarus,BLR,2007,0.157089447
Belarus,BLR,2008,0.20828578
Belarus,BLR,2009,0.345667632
Belarus,BLR,2010,0.37254621
Belarus,BLR,2011,0.428571429
Belarus,BLR,2012,0.555212832
Belarus,BLR,2013,0.844256832
Belarus,BLR,2014,0.722614078
Belgium,BEL,1990,0.789563535
Belgium,BEL,1991,0.752957042
Belgium,BEL,1992,0.864024646
Belgium,BEL,1993,0.723582805
Belgium,BEL,1994,0.841031104
Belgium,BEL,1995,0.908645737
Belgium,BEL,1996,0.746626208
Belgium,BEL,1997,0.755191945
Belgium,BEL,1998,0.924763935
Belgium,BEL,1999,1.019600317
Belgium,BEL,2000,1.261280852
Belgium,BEL,2001,1.36737134
Belgium,BEL,2002,1.405997109
Belgium,BEL,2003,1.426502794
Belgium,BEL,2004,1.774684955
Belgium,BEL,2005,2.457151524
Belgium,BEL,2006,3.499786598
Belgium,BEL,2007,3.982725528
Belgium,BEL,2008,5.285763852
Belgium,BEL,2009,6.056388215
Belgium,BEL,2010,6.920806113
Belgium,BEL,2011,9.410879188
Belgium,BEL,2012,12.81287904
Belgium,BEL,2013,14.14404439
Belgium,BEL,2014,17.03029879
Belize,BLZ,1990,0
Belize,BLZ,1991,0
Belize,BLZ,1992,0
Belize,BLZ,1993,0
Belize,BLZ,1994,0
Belize,BLZ,1995,27.02702703
Belize,BLZ,1996,40.13157895
Belize,BLZ,1997,41.31736527
Belize,BLZ,1998,41.50943396
Belize,BLZ,1999,45.50898204
Belize,BLZ,2000,70.0729927
Belize,BLZ,2001,69.0647482
Belize,BLZ,2002,67.14285714
Belize,BLZ,2003,40.96385542
Belize,BLZ,2004,43.07814788
Belize,BLZ,2005,44.14180275
Belize,BLZ,2006,84.77177737
Belize,BLZ,2007,82.2754469
Belize,BLZ,2008,94.74758595
Belize,BLZ,2009,79.29142145
Belize,BLZ,2010,63.38095209
Belize,BLZ,2011,62.94159847
Belize,BLZ,2012,49.19400582
Belize,BLZ,2013,55.81301319
Belize,BLZ,2014,50.70547537
Benin,BEN,1990,0
Benin,BEN,1991,0
Benin,BEN,1992,0
Benin,BEN,1993,0
Benin,BEN,1994,0
Benin,BEN,1995,0
Benin,BEN,1996,0
Benin,BEN,1997,3.389830508
Benin,BEN,1998,2.53164557
Benin,BEN,1999,2.777777778
Benin,BEN,2000,2.380952381
Benin,BEN,2001,3.03030303
Benin,BEN,2002,3.174603175
Benin,BEN,2003,2.5
Benin,BEN,2004,1.234567901
Benin,BEN,2005,0.934579439
Benin,BEN,2006,2.597402597
Benin,BEN,2007,1.363636364
Benin,BEN,2008,1.310043668
Benin,BEN,2009,0.78125
Benin,BEN,2010,0.666666667
Benin,BEN,2011,0.64516129
Benin,BEN,2012,0.617283951
Benin,BEN,2013,0.578034682
Benin,BEN,2014,0.543478261
Bermuda,BMU,1990,0
Bermuda,BMU,1991,0
Bermuda,BMU,1992,0
Bermuda,BMU,1993,0
Bermuda,BMU,1994,0
Bermuda,BMU,1995,0
Bermuda,BMU,1996,0
Bermuda,BMU,1997,0
Bermuda,BMU,1998,0
Bermuda,BMU,1999,0
Bermuda,BMU,2000,0
Bermuda,BMU,2001,0
Bermuda,BMU,2002,0
Bermuda,BMU,2003,0
Bermuda,BMU,2004,0
Bermuda,BMU,2005,0
Bermuda,BMU,2006,0
Bermuda,BMU,2007,0
Bermuda,BMU,2008,0
Bermuda,BMU,2009,0
Bermuda,BMU,2010,0
Bermuda,BMU,2011,0
Bermuda,BMU,2012,0
Bermuda,BMU,2013,0
Bermuda,BMU,2014,0
Bhutan,BTN,1990,99.55242967
Bhutan,BTN,1991,99.74424552
Bhutan,BTN,1992,99.93606138
Bhutan,BTN,1993,99.94061758
Bhutan,BTN,1994,99.94068802
Bhutan,BTN,1995,100
Bhutan,BTN,1996,100
Bhutan,BTN,1997,100
Bhutan,BTN,1998,100
Bhutan,BTN,1999,100
Bhutan,BTN,2000,100
Bhutan,BTN,2001,99.97814898
Bhutan,BTN,2002,99.95865347
Bhutan,BTN,2003,99.91696651
Bhutan,BTN,2004,99.92356039
Bhutan,BTN,2005,99.94334278
Bhutan,BTN,2006,99.96018404
Bhutan,BTN,2007,99.96952149
Bhutan,BTN,2008,99.99856345
Bhutan,BTN,2009,99.99857104
Bhutan,BTN,2010,99.99590628
Bhutan,BTN,2011,99.99575522
Bhutan,BTN,2012,99.99707033
Bhutan,BTN,2013,99.99345562
Bhutan,BTN,2014,99.99286108
Bolivia,BOL,1990,52.44482908
Bolivia,BOL,1991,58.87521968
Bolivia,BOL,1992,54.14593698
Bolivia,BOL,1993,58.27989438
Bolivia,BOL,1994,48.15864023
Bolivia,BOL,1995,43.3256045
Bolivia,BOL,1996,45.46016059
Bolivia,BOL,1997,46.45737327
Bolivia,BOL,1998,43.2884097
Bolivia,BOL,1999,47.35892811
Bolivia,BOL,2000,51.52061856
Bolivia,BOL,2001,54.84924623
Bolivia,BOL,2002,53.94359465
Bolivia,BOL,2003,47.11449677
Bolivia,BOL,2004,48.70661066
Bolivia,BOL,2005,41.25816993
Bolivia,BOL,2006,41.86792453
Bolivia,BOL,2007,41.69863969
Bolivia,BOL,2008,41.37871755
Bolivia,BOL,2009,39.48701193
Bolivia,BOL,2010,33.95307658
Bolivia,BOL,2011,34.1966759
Bolivia,BOL,2012,32.3064874
Bolivia,BOL,2013,32.17606944
Bolivia,BOL,2014,28.00685323
Bosnia and Herzegovina,BIH,1990,20.89939858
Bosnia and Herzegovina,BIH,1991,37.27239753
Bosnia and Herzegovina,BIH,1992,52.22988506
Bosnia and Herzegovina,BIH,1993,71.14517583
Bosnia and Herzegovina,BIH,1994,81.50329877
Bosnia and Herzegovina,BIH,1995,82.77664167
Bosnia and Herzegovina,BIH,1996,70.24523161
Bosnia and Herzegovina,BIH,1997,53.10895608
Bosnia and Herzegovina,BIH,1998,50.20381183
Bosnia and Herzegovina,BIH,1999,54.48099271
Bosnia and Herzegovina,BIH,2000,48.84456803
Bosnia and Herzegovina,BIH,2001,48.70276368
Bosnia and Herzegovina,BIH,2002,48.84561892
Bosnia and Herzegovina,BIH,2003,39.95206817
Bosnia and Herzegovina,BIH,2004,46.97517285
Bosnia and Herzegovina,BIH,2005,47.59561974
Bosnia and Herzegovina,BIH,2006,44.00781426
Bosnia and Herzegovina,BIH,2007,33.95281738
Bosnia and Herzegovina,BIH,2008,32.83410915
Bosnia and Herzegovina,BIH,2009,39.82001532
Bosnia and Herzegovina,BIH,2010,46.86989021
Bosnia and Herzegovina,BIH,2011,28.71073298
Bosnia and Herzegovina,BIH,2012,29.93182787
Bosnia and Herzegovina,BIH,2013,41.46467251
Bosnia and Herzegovina,BIH,2014,36.72648515
Botswana,BWA,1990,0
Botswana,BWA,1991,0
Botswana,BWA,1992,0
Botswana,BWA,1993,0
Botswana,BWA,1994,0
Botswana,BWA,1995,0
Botswana,BWA,1996,0
Botswana,BWA,1997,0
Botswana,BWA,1998,0
Botswana,BWA,1999,0
Botswana,BWA,2000,0
Botswana,BWA,2001,0
Botswana,BWA,2002,0
Botswana,BWA,2003,0
Botswana,BWA,2004,0
Botswana,BWA,2005,0
Botswana,BWA,2006,0
Botswana,BWA,2007,0
Botswana,BWA,2008,0
Botswana,BWA,2009,0
Botswana,BWA,2010,0
Botswana,BWA,2011,0
Botswana,BWA,2012,0
Botswana,BWA,2013,0.052438385
Botswana,BWA,2014,0.042319086
Brazil,BRA,1990,94.50051835
Brazil,BRA,1991,94.62575253
Brazil,BRA,1992,94.41943971
Brazil,BRA,1993,95.2547068
Brazil,BRA,1994,95.40533993
Brazil,BRA,1995,94.1574958
Brazil,BRA,1996,93.56113404
Brazil,BRA,1997,92.97783637
Brazil,BRA,1998,92.92334373
Brazil,BRA,1999,90.03692683
Brazil,BRA,2000,89.49270586
Brazil,BRA,2001,84.28744505
Brazil,BRA,2002,85.738173
Brazil,BRA,2003,87.16360313
Brazil,BRA,2004,86.03211228
Brazil,BRA,2005,87.12462751
Brazil,BRA,2006,86.74765165
Brazil,BRA,2007,88.21467965
Brazil,BRA,2008,84.26642365
Brazil,BRA,2009,88.99577577
Brazil,BRA,2010,84.72423388
Brazil,BRA,2011,87.120997
Brazil,BRA,2012,82.4482831
Brazil,BRA,2013,76.68888157
Brazil,BRA,2014,73.08120793
Brunei,BRN,1990,0
Brunei,BRN,1991,0
Brunei,BRN,1992,0
Brunei,BRN,1993,0
Brunei,BRN,1994,0
Brunei,BRN,1995,0
Brunei,BRN,1996,0
Brunei,BRN,1997,0
Brunei,BRN,1998,0
Brunei,BRN,1999,0
Brunei,BRN,2000,0
Brunei,BRN,2001,0
Brunei,BRN,2002,0
Brunei,BRN,2003,0
Brunei,BRN,2004,0
Brunei,BRN,2005,0
Brunei,BRN,2006,0
Brunei,BRN,2007,0
Brunei,BRN,2008,0
Brunei,BRN,2009,0
Brunei,BRN,2010,0
Brunei,BRN,2011,0.053691275
Brunei,BRN,2012,0.050890585
Brunei,BRN,2013,0.045433894
Brunei,BRN,2014,0.044385264
Bulgaria,BGR,1990,4.456467573
Bulgaria,BGR,1991,5.973765357
Bulgaria,BGR,1992,5.793316484
Bulgaria,BGR,1993,5.11092981
Bulgaria,BGR,1994,3.849684001
Bulgaria,BGR,1995,5.537342363
Bulgaria,BGR,1996,6.83350501
Bulgaria,BGR,1997,6.461603435
Bulgaria,BGR,1998,7.465708845
Bulgaria,BGR,1999,7.241116284
Bulgaria,BGR,2000,6.57629287
Bulgaria,BGR,2001,3.989984839
Bulgaria,BGR,2002,5.202874149
Bulgaria,BGR,2003,7.156019656
Bulgaria,BGR,2004,7.649785159
Bulgaria,BGR,2005,9.874465569
Bulgaria,BGR,2006,9.357830425
Bulgaria,BGR,2007,6.802990428
Bulgaria,BGR,2008,6.643638974
Bulgaria,BGR,2009,8.772799132
Bulgaria,BGR,2010,12.57796032
Bulgaria,BGR,2011,7.866381465
Bulgaria,BGR,2012,11.43648425
Bulgaria,BGR,2013,16.07885022
Bulgaria,BGR,2014,15.74360176
Burkina Faso,BFA,1990,4.891304348
Burkina Faso,BFA,1991,6.701030928
Burkina Faso,BFA,1992,9.950248756
Burkina Faso,BFA,1993,21.86046512
Burkina Faso,BFA,1994,33.7962963
Burkina Faso,BFA,1995,38.69905311
Burkina Faso,BFA,1996,26.98354662
Burkina Faso,BFA,1997,20.08491182
Burkina Faso,BFA,1998,23.15882875
Burkina Faso,BFA,1999,34.64851348
Burkina Faso,BFA,2000,25.17930328
Burkina Faso,BFA,2001,14.71956224
Burkina Faso,BFA,2002,17.49383055
Burkina Faso,BFA,2003,21.56995052
Burkina Faso,BFA,2004,21.4451722
Burkina Faso,BFA,2005,19.46542708
Burkina Faso,BFA,2006,14.62212486
Burkina Faso,BFA,2007,18.1372549
Burkina Faso,BFA,2008,21.94058767
Burkina Faso,BFA,2009,18.90540154
Burkina Faso,BFA,2010,20.78542367
Burkina Faso,BFA,2011,15.45574637
Burkina Faso,BFA,2012,15.44117647
Burkina Faso,BFA,2013,14.43820994
Burkina Faso,BFA,2014,10.39954205
Burundi,BDI,1990,98.18181818
Burundi,BDI,1991,98.52941176
Burundi,BDI,1992,98.13084112
Burundi,BDI,1993,98.1981982
Burundi,BDI,1994,98.29059829
Burundi,BDI,1995,98.33333333
Burundi,BDI,1996,98.33333333
Burundi,BDI,1997,98.36065574
Burundi,BDI,1998,98.21428571
Burundi,BDI,1999,98
Burundi,BDI,2000,98.01980198
Burundi,BDI,2001,98.29059829
Burundi,BDI,2002,98.45320959
Burundi,BDI,2003,98.06763285
Burundi,BDI,2004,97.86324786
Burundi,BDI,2005,98.04496579
Burundi,BDI,2006,97.90136411
Burundi,BDI,2007,98.32578542
Burundi,BDI,2008,98.24236086
Burundi,BDI,2009,96.39363748
Burundi,BDI,2010,87.65339961
Burundi,BDI,2011,90.85730884
Burundi,BDI,2012,97.9618194
Burundi,BDI,2013,87.02056925
Burundi,BDI,2014,80.71878883
Cambodia,KHM,1995,0
Cambodia,KHM,1996,0
Cambodia,KHM,1997,0
Cambodia,KHM,1998,0
Cambodia,KHM,1999,0
Cambodia,KHM,2000,0.223214286
Cambodia,KHM,2001,0.196463654
Cambodia,KHM,2002,4.120879121
Cambodia,KHM,2003,6.422018349
Cambodia,KHM,2004,5.036855037
Cambodia,KHM,2005,6.12033195
Cambodia,KHM,2006,5.527210884
Cambodia,KHM,2007,4.36534587
Cambodia,KHM,2008,4.192021636
Cambodia,KHM,2009,4.617834395
Cambodia,KHM,2010,4.929577465
Cambodia,KHM,2011,6.457739791
Cambodia,KHM,2012,37.65690377
Cambodia,KHM,2013,57.93025872
Cambodia,KHM,2014,61.09839817
