Country,Code,Year,Traditional biofuels,"Other renewables (modern biofuels, geothermal, wave & tidal)",Wind,Solar PV,Hydropower,Total
Argentina,ARG,1985,,0.136370889,0,0,,0.136370889
Argentina,ARG,1986,,0.141051329,0,0,,0.141051329
Argentina,ARG,1987,,0.148871053,0,0,,0.148871053
Argentina,ARG,1988,,0.162141511,0,0,,0.162141511
Argentina,ARG,1989,,0.16042383,0,0,,0.16042383
Argentina,ARG,1990,,0.130243879,0,0,,0.130243879
Argentina,ARG,1991,,0.124238994,0,0,,0.124238994
Argentina,ARG,1992,,0.127183974,0,0,,0.127183974
Argentina,ARG,1993,,0.143990957,0,0,,0.143990957
Argentina,ARG,1994,,0.155826316,0,0,,0.155826316
Argentina,ARG,1995,,0.148578136,0,0,,0.148578136
Argentina,ARG,1996,,0.440480082,0.009618,0,,0.450098082
Argentina,ARG,1997,,0.588645667,0.014592,0,,0.603237667
Argentina,ARG,1998,,0.59863538,0.032541,1.70E-05,,0.63119338
Argentina,ARG,1999,,0.805191111,0.034781,2.60E-05,,0.839998111
Argentina,ARG,2000,,0.835716444,0.034758,3.60E-05,,0.870510444
Argentina,ARG,2001,,0.756331839,0.049361,4.30E-05,,0.805735839
Argentina,ARG,2002,,1.067168992,0.073405,4.70E-05,,1.140620992
Argentina,ARG,2003,,1.293467359,0.077954,6.50E-05,,1.371486359
Argentina,ARG,2004,,1.129791099,0.072446,7.00E-05,,1.202307099
Argentina,ARG,2005,,1.162768475,0.071719665,8.10E-05,,1.23456914
Argentina,ARG,2006,,1.708277201,0.06964,9.00E-05,,1.778007201
Argentina,ARG,2007,,1.671492477,0.061593,0.0001089,,1.733194377
Argentina,ARG,2008,,1.80180867,0.041951078,0.0001437,,1.843903448
Argentina,ARG,2009,,1.834468498,0.036831529,7.61E-05,,1.871376111
Argentina,ARG,2010,,2.127493014,0.025351606,8.59E-05,,2.15293051
Argentina,ARG,2011,,2.167118609,0.02659055,0.001614,,2.195323159
Argentina,ARG,2012,,2.230550449,0.369861999,0.008172967,,2.608585415
Argentina,ARG,2013,,2.32452821,0.453354876,0.015074079,,2.792957165
Argentina,ARG,2014,,2.840839114,0.731192,0.015944,,3.587975114
Argentina,ARG,2015,,2.150421529,0.593334963,0.014683,,2.758439492
Argentina,ARG,2016,,2.342691582,0.547054836,0.014271876,,2.904018294
Australia,AUS,1965,,0.296,0,0,,0.296
Australia,AUS,1966,,0.284,0,0,,0.284
Australia,AUS,1967,,0.29,0,0,,0.29
Australia,AUS,1968,,0.282,0,0,,0.282
Australia,AUS,1969,,0.281,0,0,,0.281
Australia,AUS,1970,,0.261,0,0,,0.261
Australia,AUS,1971,,0.263,0,0,,0.263
Australia,AUS,1972,,0.28,0,0,,0.28
Australia,AUS,1973,,0.338,0,0,,0.338
Australia,AUS,1974,,0.429,0,0,,0.429
Australia,AUS,1975,,0.489,0,0,,0.489
Australia,AUS,1976,,0.484,0,0,,0.484
Australia,AUS,1977,,0.429,0,0,,0.429
Australia,AUS,1978,,0.405,0,0,,0.405
Australia,AUS,1979,,0.418,0,0,,0.418
Australia,AUS,1980,,0.385,0,0,,0.385
Australia,AUS,1981,,0.404,0,0,,0.404
Australia,AUS,1982,,0.516,0,0,,0.516
Australia,AUS,1983,,0.431,0,0,,0.431
Australia,AUS,1984,,0.441,0,0,,0.441
Australia,AUS,1985,,0.456,0,0,,0.456
Australia,AUS,1986,,0.46,0,0,,0.46
Australia,AUS,1987,,0.47,0,0,,0.47
Australia,AUS,1988,,0.731,0,0,,0.731
Australia,AUS,1989,,0.81,0,0,,0.81
Australia,AUS,1990,,0.7595,0,0,,0.7595
Australia,AUS,1991,,0.7195,0,0.00545,,0.72495
Australia,AUS,1992,,0.67,0,0.0121,,0.6821
Australia,AUS,1993,,0.67,0.002,0.0146,,0.6866
Australia,AUS,1994,,0.6965,0.0055,0.0174,,0.7194
Australia,AUS,1995,,0.8255,0.007,0.02115,,0.85365
Australia,AUS,1996,,0.9465,0.007,0.0256,,0.9791
Australia,AUS,1997,,0.997,0.0075,0.03065,,1.03515
Australia,AUS,1998,,1.081,0.018,0.0356,,1.1346
Australia,AUS,1999,,1.1335,0.043,0.0406,,1.2171
Australia,AUS,2000,,0.8895,0.134,0.04675,,1.07025
Australia,AUS,2001,,0.7975,0.287,0.05415,,1.13865
Australia,AUS,2002,,1.2668,0.53355,0.0583,,1.85865
Australia,AUS,2003,,1.6918,0.70405,0.0632,,2.45905
Australia,AUS,2004,,2.81525,0.795,0.07295,,3.6832
Australia,AUS,2005,,3.871,1.29905,0.08405,,5.2541
Australia,AUS,2006,,3.9325,2.1621,0.0975,,6.1921
Australia,AUS,2007,,4.275,2.8521,0.11375,,7.24085
Australia,AUS,2008,,3.6961,3.45845,0.1392,,7.29375
Australia,AUS,2009,,2.7868,4.43775,0.29024203,,7.51479203
Australia,AUS,2010,,2.44155,4.985,0.97764828,,8.40419828
Australia,AUS,2011,,2.57395,6.432,2.04454657,,11.05049657
Australia,AUS,2012,,3.09785,7.725,2.412,,13.23485
Australia,AUS,2013,,3.33165,9.259,3.8474,,16.43805
Australia,AUS,2014,,3.56024,9.777,4.952,,18.28924
Australia,AUS,2015,,3.343322281,11.802,5.958,,21.10332228
Australia,AUS,2016,,3.352482068,13.19088671,7.15788,,23.70124878
Austria,AUT,1965,,0,0,0,,0
Austria,AUT,1966,,0,0,0,,0
Austria,AUT,1967,,0,0,0,,0
Austria,AUT,1968,,0,0,0,,0
Austria,AUT,1969,,0,0,0,,0
Austria,AUT,1970,,0,0,0,,0
Austria,AUT,1971,,0,0,0,,0
Austria,AUT,1972,,0,0,0,,0
Austria,AUT,1973,,0,0,0,,0
Austria,AUT,1974,,0,0,0,,0
Austria,AUT,1975,,0,0,0,,0
Austria,AUT,1976,,0,0,0,,0
Austria,AUT,1977,,0,0,0,,0
Austria,AUT,1978,,0,0,0,,0
Austria,AUT,1979,,0,0,0,,0
Austria,AUT,1980,,0,0,0,,0
Austria,AUT,1981,,0,0,0,,0
Austria,AUT,1982,,0,0,0,,0
Austria,AUT,1983,,0,0,0,,0
Austria,AUT,1984,,0,0,0,,0
Austria,AUT,1985,,0,0,0,,0
Austria,AUT,1986,,1.287501,0,0,,1.287501
Austria,AUT,1987,,0.905816,0,0,,0.905816
Austria,AUT,1988,,1.04696,0,0,,1.04696
Austria,AUT,1989,,1.10445,0,0,,1.10445
Austria,AUT,1990,,1.142485,0,0,,1.142485
Austria,AUT,1991,,1.225832,0,0,,1.225832
Austria,AUT,1992,,1.329164,0,0,,1.329164
Austria,AUT,1993,,1.361111,0,0.001,,1.362111
Austria,AUT,1994,,1.210555,0,0.001,,1.211555
Austria,AUT,1995,,1.857221,0.001,0.001,,1.859221
Austria,AUT,1996,,1.589444,0.005,0.001,,1.595444
Austria,AUT,1997,,1.711389,0.02,0.002,,1.733389
Austria,AUT,1998,,1.842777,0.045,0.002,,1.889777
Austria,AUT,1999,,1.596911819,0.051,0.002,,1.649911819
Austria,AUT,2000,,1.52827932,0.067,0.003,,1.59827932
Austria,AUT,2001,,1.667812,0.172,0.005,,1.844812
Austria,AUT,2002,,1.520444,0.203,0.009,,1.732444
Austria,AUT,2003,,1.711921,0.366,0.015,,2.092921
Austria,AUT,2004,,2.05973,0.924,0.018,,3.00173
Austria,AUT,2005,,2.387158355,1.331276757,0.021018,,3.739453112
Austria,AUT,2006,,3.388679636,1.752792984,0.022387,,5.16385962
Austria,AUT,2007,,4.217777446,2.0371,0.024238,,6.279115446
Austria,AUT,2008,,4.30230414,2.011257409,0.03011991,,6.343681458
Austria,AUT,2009,,4.277982167,1.954040168,0.04891428,,6.280936616
Austria,AUT,2010,,4.463430081,2.063913736,0.08881314,,6.616156957
Austria,AUT,2011,,4.504831838,1.93623636,0.17406996,,6.615138158
Austria,AUT,2012,,4.605099701,2.462029019,0.33748305,,7.40461177
Austria,AUT,2013,,4.584015254,3.153231562,0.625974,,8.363220816
Austria,AUT,2014,,4.303104852,3.845768035,0.785246,,8.934118887
Austria,AUT,2015,,4.409360364,4.840343102,0.937098,,10.18680147
Austria,AUT,2016,,4.593077479,5.160565977,1.073547327,,10.82719078
Azerbaijan,AZE,1985,,0,0,0,,0
Azerbaijan,AZE,1986,,0,0,0,,0
Azerbaijan,AZE,1987,,0,0,0,,0
Azerbaijan,AZE,1988,,0,0,0,,0
Azerbaijan,AZE,1989,,0,0,0,,0
Azerbaijan,AZE,1990,,0,0,0,,0
Azerbaijan,AZE,1991,,0,0,0,,0
Azerbaijan,AZE,1992,,0,0,0,,0
Azerbaijan,AZE,1993,,0,0,0,,0
Azerbaijan,AZE,1994,,0,0,0,,0
Azerbaijan,AZE,1995,,0,0,0,,0
Azerbaijan,AZE,1996,,0,0,0,,0
Azerbaijan,AZE,1997,,0,0,0,,0
Azerbaijan,AZE,1998,,0,0,0,,0
Azerbaijan,AZE,1999,,0,0,0,,0
Azerbaijan,AZE,2000,,0,0,0,,0
Azerbaijan,AZE,2001,,0,0,0,,0
Azerbaijan,AZE,2002,,0,0,0,,0
Azerbaijan,AZE,2003,,0,0,0,,0
Azerbaijan,AZE,2004,,0,0,0,,0
Azerbaijan,AZE,2005,,0,0,0,,0
Azerbaijan,AZE,2006,,0,0,0,,0
Azerbaijan,AZE,2007,,0,0,0,,0
Azerbaijan,AZE,2008,,0,0,0,,0
Azerbaijan,AZE,2009,,0,0.0021,0,,0.0021
Azerbaijan,AZE,2010,,0,0.0005,0,,0.0005
Azerbaijan,AZE,2011,,0,0,0,,0
Azerbaijan,AZE,2012,,0,0,0,,0
Azerbaijan,AZE,2013,,0.067,0.0008,0.0008,,0.0686
Azerbaijan,AZE,2014,,0.083678358,0.0023,0.0029,,0.088878358
Azerbaijan,AZE,2015,,0.0909,0.0046,0.0046,,0.1001
Azerbaijan,AZE,2016,,0.08725,0.0178,0.0619,,0.16695
Bangladesh,BGD,1965,,0,0,0,,0
Bangladesh,BGD,1966,,0,0,0,,0
Bangladesh,BGD,1967,,0,0,0,,0
Bangladesh,BGD,1968,,0,0,0,,0
Bangladesh,BGD,1969,,0,0,0,,0
Bangladesh,BGD,1970,,0,0,0,,0
Bangladesh,BGD,1971,,0,0,0,,0
Bangladesh,BGD,1972,,0,0,0,,0
Bangladesh,BGD,1973,,0,0,0,,0
Bangladesh,BGD,1974,,0,0,0,,0
Bangladesh,BGD,1975,,0,0,0,,0
Bangladesh,BGD,1976,,0,0,0,,0
Bangladesh,BGD,1977,,0,0,0,,0
Bangladesh,BGD,1978,,0,0,0,,0
Bangladesh,BGD,1979,,0,0,0,,0
Bangladesh,BGD,1980,,0,0,0,,0
Bangladesh,BGD,1981,,0,0,0,,0
Bangladesh,BGD,1982,,0,0,0,,0
Bangladesh,BGD,1983,,0,0,0,,0
Bangladesh,BGD,1984,,0,0,0,,0
Bangladesh,BGD,1985,,0,0,0,,0
Bangladesh,BGD,1986,,0,0,0,,0
Bangladesh,BGD,1987,,0,0,0,,0
Bangladesh,BGD,1988,,0,0,0,,0
Bangladesh,BGD,1989,,0,0,0,,0
Bangladesh,BGD,1990,,0,0,0,,0
Bangladesh,BGD,1991,,0,0,0,,0
Bangladesh,BGD,1992,,0,0,0,,0
Bangladesh,BGD,1993,,0,0,0,,0
Bangladesh,BGD,1994,,0,0,0,,0
Bangladesh,BGD,1995,,0,0,0,,0
Bangladesh,BGD,1996,,0,0,0,,0
Bangladesh,BGD,1997,,0,0,0,,0
Bangladesh,BGD,1998,,0,0,0,,0
Bangladesh,BGD,1999,,0,0,0,,0
Bangladesh,BGD,2000,,0,0,0.001010101,,0.001010101
Bangladesh,BGD,2001,,0,0,0.001010101,,0.001010101
Bangladesh,BGD,2002,,0,0,0.002020202,,0.002020202
Bangladesh,BGD,2003,,0,0,0.003030303,,0.003030303
Bangladesh,BGD,2004,,0,0,0.004040404,,0.004040404
Bangladesh,BGD,2005,,0,0.001010101,0.005050505,,0.006060606
Bangladesh,BGD,2006,,0,0.002020202,0.01010101,,0.012121212
Bangladesh,BGD,2007,,0,0.002020202,0.02020202,,0.022222222
Bangladesh,BGD,2008,,0,0.002020202,0.02020202,,0.022222222
Bangladesh,BGD,2009,,0,0.002020202,0.037,,0.039020202
Bangladesh,BGD,2010,,0,0.002020202,0.055,,0.057020202
Bangladesh,BGD,2011,,0,0.002020202,0.078,,0.080020202
Bangladesh,BGD,2012,,0,0.002025737,0.108,,0.110025737
Bangladesh,BGD,2013,,0,0.004,0.136,,0.14
Bangladesh,BGD,2014,,0,0.004,0.145,,0.149
Bangladesh,BGD,2015,,0,0.004,0.181394422,,0.185394422
Bangladesh,BGD,2016,,0,0.004010959,0.210278884,,0.214289843
Belarus,BLR,1985,,0,0,0,,0
Belarus,BLR,1986,,0,0,0,,0
Belarus,BLR,1987,,0,0,0,,0
Belarus,BLR,1988,,0,0,0,,0
Belarus,BLR,1989,,0,0,0,,0
Belarus,BLR,1990,,0,0,0,,0
Belarus,BLR,1991,,0,0,0,,0
Belarus,BLR,1992,,0,0,0,,0
Belarus,BLR,1993,,0,0,0,,0
Belarus,BLR,1994,,0,0,0,,0
Belarus,BLR,1995,,0,0,0,,0
Belarus,BLR,1996,,0,0,0,,0
Belarus,BLR,1997,,0,0,0,,0
Belarus,BLR,1998,,0.098947368,0,0,,0.098947368
Belarus,BLR,1999,,0.103157895,0,0,,0.103157895
Belarus,BLR,2000,,0,0,0,,0
Belarus,BLR,2001,,0,0,0,,0
Belarus,BLR,2002,,0,0,0,,0
Belarus,BLR,2003,,0,0,0,,0
Belarus,BLR,2004,,0,0.001010101,0,,0.001010101
Belarus,BLR,2005,,0,0.001,0,,0.001
Belarus,BLR,2006,,0.002,0.001,0,,0.003
Belarus,BLR,2007,,0.014,0.001,0,,0.015
Belarus,BLR,2008,,0.033,0.001,0,,0.034
Belarus,BLR,2009,,0.06,0.001,0,,0.061
Belarus,BLR,2010,,0.084,0.001,0,,0.085
Belarus,BLR,2011,,0.095,0.004,0,,0.099
Belarus,BLR,2012,,0.095,0.006,0,,0.101
Belarus,BLR,2013,,0.12,0.008,0.0004,,0.1284
Belarus,BLR,2014,,0.118,0.009,0.002,,0.129
Belarus,BLR,2015,,0.118,0.026,0.007,,0.151
Belarus,BLR,2016,,0.118323288,0.156427397,0.028777778,,0.303528463
Belgium,BEL,1965,,0,0,0,,0
Belgium,BEL,1966,,0,0,0,,0
Belgium,BEL,1967,,0,0,0,,0
Belgium,BEL,1968,,0,0,0,,0
Belgium,BEL,1969,,0,0,0,,0
Belgium,BEL,1970,,0,0,0,,0
Belgium,BEL,1971,,0,0,0,,0
Belgium,BEL,1972,,0,0,0,,0
Belgium,BEL,1973,,0.116,0,0,,0.116
Belgium,BEL,1974,,0.108,0,0,,0.108
Belgium,BEL,1975,,0.083,0,0,,0.083
Belgium,BEL,1976,,0.057,0,0,,0.057
Belgium,BEL,1977,,0.247,0,0,,0.247
Belgium,BEL,1978,,0.26,0,0,,0.26
Belgium,BEL,1979,,0.315,0,0,,0.315
Belgium,BEL,1980,,0.3,0,0,,0.3
Belgium,BEL,1981,,0.291,0,0,,0.291
Belgium,BEL,1982,,0.046,0,0,,0.046
Belgium,BEL,1983,,0.022,0,0,,0.022
Belgium,BEL,1984,,0.024,0,0,,0.024
Belgium,BEL,1985,,0.053,0,0,,0.053
Belgium,BEL,1986,,0.119,0,0,,0.119
Belgium,BEL,1987,,0.142,0.006,0,,0.148
Belgium,BEL,1988,,0.18,0.008,0,,0.188
Belgium,BEL,1989,,0.191,0.007,0,,0.198
Belgium,BEL,1990,,0.282,0.007,0,,0.289
Belgium,BEL,1991,,0.299,0.008,0,,0.307
Belgium,BEL,1992,,0.267,0.009,0,,0.276
Belgium,BEL,1993,,0.245,0.008,0,,0.253
Belgium,BEL,1994,,0.245,0.009,0,,0.254
Belgium,BEL,1995,,0.321,0.009,0,,0.33
Belgium,BEL,1996,,0.314,0.008,0,,0.322
Belgium,BEL,1997,,0.275,0.008,0,,0.283
Belgium,BEL,1998,,0.359,0.011,0,,0.37
Belgium,BEL,1999,,0.496,0.013,0,,0.509
Belgium,BEL,2000,,0.568,0.016,0,,0.584
Belgium,BEL,2001,,0.597,0.037,0,,0.634
Belgium,BEL,2002,,0.721,0.057,0,,0.778
Belgium,BEL,2003,,0.857,0.088,0,,0.945
Belgium,BEL,2004,,1.037,0.142,0.001,,1.18
Belgium,BEL,2005,,1.59,0.227,0.001,,1.818
Belgium,BEL,2006,,2.225,0.366,0.002,,2.593
Belgium,BEL,2007,,2.6,0.491,0.006,,3.097
Belgium,BEL,2008,,3.329,0.637,0.042,,4.008
Belgium,BEL,2009,,3.949,0.996,0.166,,5.111
Belgium,BEL,2010,,4.33,1.292,0.56,,6.182
Belgium,BEL,2011,,4.7,2.312,1.169,,8.181
Belgium,BEL,2012,,5.202,2.751,2.148,,10.101
Belgium,BEL,2013,,4.986,3.665,2.644,,11.295
Belgium,BEL,2014,,4.423,4.615,2.883,,11.921
Belgium,BEL,2015,,5.509,5.574,3.065,,14.148
Belgium,BEL,2016,,5.322331,5.677698,2.950996,,13.951025
Brazil,BRA,1965,,0,0,0,,0
Brazil,BRA,1966,,0,0,0,,0
Brazil,BRA,1967,,0,0,0,,0
Brazil,BRA,1968,,0,0,0,,0
Brazil,BRA,1969,,0,0,0,,0
Brazil,BRA,1970,,0.5146915,0,0,,0.5146915
Brazil,BRA,1971,,0.63339525,0,0,,0.63339525
Brazil,BRA,1972,,0.716570188,0,0,,0.716570188
Brazil,BRA,1973,,0.750800375,0,0,,0.750800375
Brazil,BRA,1974,,0.7851518,0,0,,0.7851518
Brazil,BRA,1975,,0.867177575,0,0,,0.867177575
Brazil,BRA,1976,,0.864337725,0,0,,0.864337725
Brazil,BRA,1977,,1.116845463,0,0,,1.116845463
Brazil,BRA,1978,,1.331944075,0,0,,1.331944075
Brazil,BRA,1979,,1.7760194,0,0,,1.7760194
Brazil,BRA,1980,,1.805508263,0,0,,1.805508263
Brazil,BRA,1981,,1.873622875,0,0,,1.873622875
Brazil,BRA,1982,,2.178474475,0,0,,2.178474475
Brazil,BRA,1983,,2.98445495,0,0,,2.98445495
Brazil,BRA,1984,,2.851678888,0,0,,2.851678888
Brazil,BRA,1985,,3.067125589,0,0,,3.067125589
Brazil,BRA,1986,,3.193932424,0,0,,3.193932424
Brazil,BRA,1987,,3.565697315,0,0,,3.565697315
Brazil,BRA,1988,,3.339783794,0,0,,3.339783794
Brazil,BRA,1989,,3.403162339,0,0,,3.403162339
Brazil,BRA,1990,,3.8590625,0,0,,3.8590625
Brazil,BRA,1991,,3.999612563,0,0,,3.999612563
Brazil,BRA,1992,,4.929360738,0,0,,4.929360738
Brazil,BRA,1993,,4.983937033,0,0,,4.983937033
Brazil,BRA,1994,,5.388223649,0,0,,5.388223649
Brazil,BRA,1995,,5.593740489,0,0,,5.593740489
Brazil,BRA,1996,,6.752709628,0.002,0,,6.754709628
Brazil,BRA,1997,,7.378950998,0.004,0,,7.382950998
Brazil,BRA,1998,,7.505233012,0.005,0,,7.510233012
Brazil,BRA,1999,,8.376002281,0.002,0,,8.378002281
Brazil,BRA,2000,,7.855363,0.001,0,,7.856363
Brazil,BRA,2001,,8.990407,0.0349,0,,9.025307
Brazil,BRA,2002,,10.22614696,0.061,0,,10.28714696
Brazil,BRA,2003,,11.894463,0.061,0,,11.955463
Brazil,BRA,2004,,12.4750557,0.061,0,,12.5360557
Brazil,BRA,2005,,13.59093928,0.0929,0,,13.68383928
Brazil,BRA,2006,,14.768926,0.237,0,,15.005926
Brazil,BRA,2007,,18.00750852,0.662781836,0,,18.67029035
Brazil,BRA,2008,,19.52368548,1.183,0,,20.70668548
Brazil,BRA,2009,,22.63924802,1.238,0,,23.87724802
Brazil,BRA,2010,,31.5452401,2.176558,0,,33.7217981
Brazil,BRA,2011,,32.23462179,2.704769,0,,34.93939079
Brazil,BRA,2012,,35.29557876,5.05,0.00098,,40.34655876
Brazil,BRA,2013,,40.47137489,6.575862737,0.004793593,,47.05203122
Brazil,BRA,2014,,46.38442574,12.21025167,0.016081802,,58.61075921
Brazil,BRA,2015,,49.02734799,21.62570216,0.058917412,,70.71196756
Brazil,BRA,2016,,50.94428129,32.91495525,0.088901614,,83.94813815
Bulgaria,BGR,1965,,0,0,0,,0
Bulgaria,BGR,1966,,0,0,0,,0
Bulgaria,BGR,1967,,0,0,0,,0
Bulgaria,BGR,1968,,0,0,0,,0
Bulgaria,BGR,1969,,0,0,0,,0
Bulgaria,BGR,1970,,0,0,0,,0
Bulgaria,BGR,1971,,0,0,0,,0
Bulgaria,BGR,1972,,0,0,0,,0
Bulgaria,BGR,1973,,0,0,0,,0
Bulgaria,BGR,1974,,0,0,0,,0
Bulgaria,BGR,1975,,0,0,0,,0
Bulgaria,BGR,1976,,0,0,0,,0
Bulgaria,BGR,1977,,0,0,0,,0
Bulgaria,BGR,1978,,0,0,0,,0
Bulgaria,BGR,1979,,0,0,0,,0
Bulgaria,BGR,1980,,0,0,0,,0
Bulgaria,BGR,1981,,0,0,0,,0
Bulgaria,BGR,1982,,0,0,0,,0
Bulgaria,BGR,1983,,0,0,0,,0
Bulgaria,BGR,1984,,0,0,0,,0
Bulgaria,BGR,1985,,0,0,0,,0
Bulgaria,BGR,1986,,0,0,0,,0
Bulgaria,BGR,1987,,0,0,0,,0
Bulgaria,BGR,1988,,0,0,0,,0
Bulgaria,BGR,1989,,0,0,0,,0
Bulgaria,BGR,1990,,0,0,0,,0
Bulgaria,BGR,1991,,0,0,0,,0
Bulgaria,BGR,1992,,0,0,0,,0
Bulgaria,BGR,1993,,0,0,0,,0
Bulgaria,BGR,1994,,0,0,0,,0
Bulgaria,BGR,1995,,0,0,0,,0
Bulgaria,BGR,1996,,0,0,0,,0
Bulgaria,BGR,1997,,0,0,0,,0
Bulgaria,BGR,1998,,0.002,0,0,,0.002
Bulgaria,BGR,1999,,0.029,0,0,,0.029
Bulgaria,BGR,2000,,0.015,0,0,,0.015
Bulgaria,BGR,2001,,0,0,0,,0
Bulgaria,BGR,2002,,0,0,0,,0
Bulgaria,BGR,2003,,0,0,0,,0
Bulgaria,BGR,2004,,0,0.001,0,,0.001
Bulgaria,BGR,2005,,0,0.005,0,,0.005
Bulgaria,BGR,2006,,0,0.02,0,,0.02
Bulgaria,BGR,2007,,0,0.047,0,,0.047
Bulgaria,BGR,2008,,0.016,0.122,0,,0.138
Bulgaria,BGR,2009,,0.008,0.237,0.003,,0.248
Bulgaria,BGR,2010,,0.035,0.681,0.015,,0.731
Bulgaria,BGR,2011,,0.056,0.861,0.101,,1.018
Bulgaria,BGR,2012,,0.066,1.221,0.814,,2.101
Bulgaria,BGR,2013,,0.11,1.374,1.361,,2.845
Bulgaria,BGR,2014,,0.2,1.331,1.252,,2.783
Bulgaria,BGR,2015,,0.272,1.452,1.383,,3.107
Bulgaria,BGR,2016,,0.3734715,1.378188,1.409228,,3.1608875
Canada,CAN,1965,,0,0,0,,0
Canada,CAN,1966,,0,0,0,,0
Canada,CAN,1967,,0,0,0,,0
Canada,CAN,1968,,0,0,0,,0
Canada,CAN,1969,,0,0,0,,0
Canada,CAN,1970,,0,0,0,,0
Canada,CAN,1971,,0,0,0,,0
Canada,CAN,1972,,0,0,0,,0
Canada,CAN,1973,,0,0,0,,0
Canada,CAN,1974,,0,0,0,,0
Canada,CAN,1975,,0,0,0,,0
Canada,CAN,1976,,0.707,0,0,,0.707
Canada,CAN,1977,,1.069,0,0,,1.069
Canada,CAN,1978,,1.132,0,0,,1.132
Canada,CAN,1979,,1.345,0,0,,1.345
Canada,CAN,1980,,1.3,0,0,,1.3
Canada,CAN,1981,,1.898,0,0,,1.898
Canada,CAN,1982,,2.139,0,0,,2.139
Canada,CAN,1983,,2.085,0,0,,2.085
Canada,CAN,1984,,2.337,0,0,,2.337
Canada,CAN,1985,,1.677,0.001,0,,1.678
Canada,CAN,1986,,1.865,0.001,0,,1.866
Canada,CAN,1987,,2.312,0.001,0,,2.313
Canada,CAN,1988,,2.485,0.001,0,,2.486
Canada,CAN,1989,,3.477,0.001,0,,3.478
Canada,CAN,1990,,3.954,0.001919192,0,,3.955919192
