"State"	"Code"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"
"Mississippi"	"MS"	"2970536"	"2978470"	"2983767"	"2988797"	"2990623"	"2988693"	"2988298"	"2989663"	"2986530"
"Missouri"	"MO"	"5995976"	"6009641"	"6024081"	"6040658"	"6056293"	"6071745"	"6087203"	"6108612"	"6126452"
"Montana"	"MT"	"990722"	"997221"	"1003754"	"1013564"	"1021891"	"1030503"	"1040863"	"1053090"	"1062305"
"Nebraska"	"NE"	"1829536"	"1840538"	"1853323"	"1865414"	"1879522"	"1891507"	"1905924"	"1917575"	"1929268"
"Nevada"	"NV"	"2702464"	"2712799"	"2744566"	"2776972"	"2819012"	"2868666"	"2919772"	"2972405"	"3034392"
"New Hampshire"	"NH"	"1316777"	"1319815"	"1323962"	"1326408"	"1333223"	"1336294"	"1342373"	"1349767"	"1356458"
"New Jersey"	"NJ"	"8799624"	"8827783"	"8845483"	"8858362"	"8866780"	"8870869"	"8874516"	"8888543"	"8908520"
"New Mexico"	"NM"	"2064588"	"2080395"	"2087549"	"2092792"	"2090342"	"2090211"	"2092789"	"2093395"	"2095428"
"New York"	"NY"	"19400080"	"19498514"	"19574549"	"19628043"	"19656330"	"19661411"	"19641589"	"19590719"	"19542209"
"North Carolina"	"NC"	"9574293"	"9656754"	"9749123"	"9843599"	"9933944"	"10033079"	"10156679"	"10270800"	"10383620"
"North Dakota"	"ND"	"674710"	"685136"	"701116"	"721999"	"737382"	"754022"	"754353"	"755176"	"760077"
"Ohio"	"OH"	"11539327"	"11543463"	"11548369"	"11576576"	"11602973"	"11617850"	"11635003"	"11664129"	"11689442"
"Oklahoma"	"OK"	"3759632"	"3787821"	"3818600"	"3853205"	"3878367"	"3909831"	"3926769"	"3932640"	"3943079"
"Oregon"	"OR"	"3837532"	"3871728"	"3899118"	"3922908"	"3964106"	"4016918"	"4091404"	"4146592"	"4190713"
"Pennsylvania"	"PA"	"12711158"	"12744583"	"12766827"	"12776621"	"12789101"	"12785759"	"12783538"	"12790447"	"12807060"
"Rhode Island"	"RI"	"1053938"	"1053536"	"1054601"	"1055122"	"1056017"	"1056173"	"1057063"	"1056486"	"1057315"
"South Carolina"	"SC"	"4635656"	"4671422"	"4717112"	"4764153"	"4823793"	"4892253"	"4958235"	"5021219"	"5084127"
"South Dakota"	"SD"	"816165"	"823484"	"833496"	"842270"	"849088"	"853933"	"862890"	"873286"	"882235"
"Tennessee"	"TN"	"6355301"	"6397410"	"6451281"	"6493432"	"6540826"	"6590808"	"6645011"	"6708794"	"6770010"
"Texas"	"TX"	"25242679"	"25646227"	"26089620"	"26489464"	"26977142"	"27486814"	"27937492"	"28322717"	"28701845"
"Utah"	"UT"	"2775334"	"2814216"	"2853467"	"2897927"	"2937399"	"2982497"	"3042613"	"3103118"	"3161105"
"Vermont"	"VT"	"625880"	"626979"	"626063"	"626212"	"625218"	"625197"	"623644"	"624525"	"626299"
"Virginia"	"VA"	"8023680"	"8100469"	"8185229"	"8253053"	"8312076"	"8362907"	"8410946"	"8465207"	"8517685"
"Washington"	"WA"	"6742902"	"6821655"	"6892876"	"6962906"	"7052439"	"7163543"	"7294680"	"7425432"	"7535591"
"West Virginia"	"WV"	"1854214"	"1856074"	"1856764"	"1853873"	"1849467"	"1841996"	"1830929"	"1817048"	"1805832"
"Wisconsin"	"WI"	"5690479"	"5704755"	"5719855"	"5736952"	"5751974"	"5761406"	"5772958"	"5792051"	"5813568"
"Wyoming"	"WY"	"564483"	"567224"	"576270"	"582123"	"582548"	"585668"	"584290"	"578934"	"577737"
