HPI Rank	Country	Region	Life Expectancy (years)	Wellbeing (0-10)	Inequality of outcomes	Ecological Footprint (gha/capita)	Happy Planet Index
113	Syria	Middle East and North Africa	70.4	3.2	30%	1.5	19.1
114	Kazakhstan	Post-communist	68.6	5.8	18%	5.6	19.1
115	Republic of Congo	Sub Saharan Africa	61	3.9	40%	1.3	18.8
116	Russia	Post-communist	69.5	5.6	16%	5.7	18.7
117	Mauritania	Sub Saharan Africa	62.6	4.7	37%	2.5	18
118	Estonia	Post-communist	76.2	5.4	12%	6.9	17.9
119	Burkina Faso	Sub Saharan Africa	58	4	43%	1.2	17.9
120	Gabon	Sub Saharan Africa	63.3	4	36%	2	17.5
121	Latvia	Post-communist	73.6	5.1	14%	6.3	17.1
122	Niger	Sub Saharan Africa	60	3.8	40%	1.6	16.8
123	Hong Kong	Asia Pacific	83.6	5.5	10%	8.8	16.8
124	Cameroon	Sub Saharan Africa	54.6	4.2	47%	1.2	16.7
125	Lesotho	Sub Saharan Africa	48.9	4.9	42%	1.7	16.7
126	Botswana	Sub Saharan Africa	64.2	4.8	28%	3.8	16.6
127	Djibouti	Sub Saharan Africa	61.3	4.4	42%	2.2	16.4
128	South Africa	Sub Saharan Africa	56.3	5.1	33%	3.3	15.9
129	Guinea	Sub Saharan Africa	57.7	3.7	42%	1.4	15.9
130	Trinidad and Tobago	Americas	70.1	6.4	21%	7.9	15.7
131	Burundi	Sub Saharan Africa	55.8	3.4	48%	0.8	15.6
132	Swaziland	Sub Saharan Africa	48.9	4.9	41%	2	15.5
133	Sierra Leone	Sub Saharan Africa	49.8	4.5	50%	1.2	15.3
134	Turkmenistan	Post-communist	65.3	5.5	31%	5.5	14.6
135	Cote d'Ivoire	Sub Saharan Africa	50.8	3.8	45%	1.3	14.4
136	Mongolia	Asia Pacific	68.6	4.9	22%	6.1	14.3
137	Benin	Sub Saharan Africa	59.2	3.2	44%	1.4	13.4
138	Togo	Sub Saharan Africa	58.6	2.9	43%	1.1	13.2
139	Luxembourg	Europe	81.1	7	7%	15.8	13.2
140	Chad	Sub Saharan Africa	50.8	4	51%	1.5	12.8
